Identifiant,Annee,NUM_SAGO,Entreprise,Etablissement,SCIAN,Adresse,Region,Mun,Longitude,Latitude,Emissions_totales,Emissions_bio_combustion,Emissions_bio_autres,Emissions_totales_sans_bio,Note
14143,2017,52269974,Maibec inc.,Maibec inc. (scierie),321111 : Scieries sauf usines de bard. & bard. de fente,"24, 6e Rang Saint-Pamphile (Québec), G0R 3X0",Chaudière-Appalaches,Saint-Pamphile,-69.77621835,46.96849984,39344,37079,0,2265,
14144,2017,90369174,Produits forestiers Mauricie S.E.C.,Produits Forestiers Mauricie S.E.C.,321111 : Scieries sauf usines de bard. & bard. de fente,"2419, route 155 Sud La Tuque (Québec), G9X 3N8",Mauricie,La Tuque,-72.88870278,47.21346944,18550,16957,0,1593,
14145,2017,54533609,Bradken Canada Manufactured Products Ltd.,Bradken Traitement des minerais C.B. - Usine no 1,331514 : Fonderies d'acier,"105, avenue de la Fonderie Mont-Joli (Québec), G5H 1W2",Bas-Saint-Laurent,Mont-Joli,-68.1849,48.58813,7650,0,0,7650,
14147,2017,X2140442,Université Laval,Université Laval - Pavillon Gérard-Bisaillon (centrale thermique) GBI,611310 : Universités,"2220, rue de l'Université Québec (Québec), G1V 0A6",Capitale-Nationale,Québec,-71.26520706,46.78343459,24774,0,0,24774,
14148,2017,29101334,Produits forestiers Arbec inc.,Produits forestiers Arbec inc.(Shawinigan),321217 : Usines de panneaux de copeaux,"775, chemin de Turcotte Shawinigan (Québec), G9T 5K7",Mauricie,Shawinigan,-72.64025131,46.6282322,57316,55108,0,2208,
14152,2017,12187886,Les Produits Forestiers D&G Ltée,Les Produits Forestiers D.G. ltée - Division Saint-Côme,321111 : Scieries sauf usines de bard. & bard. de fente,"2518, route du Président-Kennedy Saint-Côme--Linière (Québec), G0M 1J0",Chaudière-Appalaches,Saint-Côme--Linière,-70.4843892,46.01171289,11312,10616,0,696,
14155,2017,52344595,Matériaux Blanchet inc.,Matériaux Blanchet inc.,321111 : Scieries sauf usines de bard. & bard. de fente,"2771, route de l'Aéroport C.P. 430 Amos (Québec), J9T 3A8",Abitibi-Témiscamingue,Amos,-78.16896944,48.56403056,34997,32483,0,2514,
14156,2017,90279464,Matériaux Blanchet inc.,Matériaux Blanchet inc.,321111 : Scieries sauf usines de bard. & bard. de fente,"1030, route Elgin Sud Saint-Pamphile (Québec), G0R 3X0",Chaudière-Appalaches,Saint-Pamphile,-69.75160409,46.94371915,28693,26746,0,1947,
14162,2017,X0800741,Eacom Timber Corporation,Eacom Timber Corporation (Sullivan),321111 : Scieries sauf usines de bard. & bard. de fente,,Abitibi-Témiscamingue,Val-d'Or,-77.81197222,48.11022222,272,0,0,272,
14171,2017,90380767,CEPSA Chimie Bécancour inc.,CEPSA Chimie Bécancour inc.,325110 : Fab. de produits pétrochimiques,"5250, boulevard Bécancour Bécancour (Québec), G9H 3X3",Centre-du-Québec,Bécancour,-72.361686,46.379501,69374,0,0,69374,
14174,2017,51274785,Barrette-Chapais ltée,Scierie Chapais,321111 : Scieries sauf usines de bard. & bard. de fente,,Nord-du-Québec,Eeyou Istchee Baie-James,-74.71570734,49.78853877,38887,33875,0,5012,
14185,2017,11313541,Rio Tinto Fer et Titane inc.,Les poudres métalliques du Québec ltée,331110 : Sidérurgie,"1655, route Marie-Victorin Sorel-Tracy (Québec), J3R 4R4",Montérégie,Sorel-Tracy,-73.14416667,46.03972222,35803,0,0,35803,
14194,2017,90560244,Société en commandite Papier Masson WB,Commandité Papier Masson WB ltée (anc.: Papier Masson ltée),322122 : Usines de papier journal,"2, chemin de Montréal Ouest Gatineau (Québec), J8M 2E1",Outaouais,Gatineau,-75.42396944,45.54098889,12131,0,16,12115,
14196,2017,24300311,Les chantiers de Chibougamau ltée,Les chantiers de Chibougamau ltée,321111 : Scieries sauf usines de bard. & bard. de fente,"521, chemin Merrill Chibougamau (Québec), G8P 2K7",Nord-du-Québec,Chibougamau,-74.36995238,49.93111444,42176,40634,0,1542,
14197,2017,54584628,PF Résolu Canada inc.,PF Résolu - Division Senneterre scierie,321111 : Scieries sauf usines de bard. & bard. de fente,"40, chemin Saint-Pierre Senneterre (Québec), J0Y 2M0",Abitibi-Témiscamingue,Senneterre,-77.23157778,48.38545111,33321,30837,0,2484,
14198,2017,54584644,PF Résolu Canada inc.,PF Résolu Canada inc. - Scierie de Comtois,321111 : Scieries sauf usines de bard. & bard. de fente,"2050, route 1000 Lebel-sur-Quévillon (Québec), J0Y 1X0",Nord-du-Québec,Eeyou Istchee Baie-James,-77.15158056,49.11157222,20053,18526,0,1527,
14199,2017,90453523,PF Résolu Canada inc.,PF Résolu Canada inc. (division bois d'oeuvre) - Senneterre (Lac Clair),321111 : Scieries sauf usines de bard. & bard. de fente,"200, chemin du Lac-Clair Senneterre (Québec), J0Y 2M0",Abitibi-Témiscamingue,Senneterre,-77.18373056,48.35256667,8594,7569,0,1025,
14200,2017,54903323,PF Résolu Canada inc.,Produits forestiers Résolu (Scierie des Outardes),321111 : Scieries sauf usines de bard. & bard. de fente,,Côte-Nord,Pointe-aux-Outardes,-68.40725703,49.1778866,26497,23920,0,2577,
14201,2017,90240573,Veolia ES Canada Services industriels inc.,Veolia ES Canada services industriels inc.,324190 : Fab. d'autres produits du pétrole & du charbon,"7950, avenue Pion Saint-Hyacinthe (Québec), J2R 1R9",Montérégie,Saint-Hyacinthe,-72.97,45.649444,10223,0,0,10223,
14202,2017,54083258,Eacom Timber Corporation,Eacom Timber Corporation - Division Val-d'Or,321111 : Scieries sauf usines de bard. & bard. de fente,"3030, boulevard Jean-Jacques Cossette Val-d'Or (Québec), J9P 6Y6",Abitibi-Témiscamingue,Val-d'Or,-77.778325,48.11878611,37016,30740,0,6276,
14203,2017,53859047,Bombardier inc.,BOMBARDIER INC.,336410 : Fab. de produits aérospatiaux & de leurs pièces,"1800, boulevard Marcel-Laurin Montréal (Québec), H4R 1K2",Montréal,Montréal,-73.6993911,45.51403393,18470,0,0,18470,
14208,2017,55241798,Olin Canada ULC,"Olin Canada ULC, usine de Bécancour",325181 : Fab. d'alcalis & de chlore,"675, boulevard Alphonse-Deshaies Bécancour (Québec), G9H 2Y8",Centre-du-Québec,Bécancour,-72.37317677,46.38237741,13426,0,0,13426,
14209,2017,90234220,Complexe Enviro Connexions Ltée,Complexe Enviro Connexions Ltée,562990 : Tous les autres services de gestion de déchets,"3779, chemin des Quarante-Arpents Terrebonne (Québec), J6V 9T6",Lanaudière,Terrebonne,-73.53000215,45.74538149,107245,19103,6694,81448,
14210,2017,X0700081,PF Résolu Canada inc.,PF Résolu Canada inc. (anc.: AbiBow Canada inc.),321111 : Scieries sauf usines de bard. & bard. de fente,"200, chemin de Montcerf Maniwaki (Québec), J9E 1A1",Outaouais,Maniwaki,-75.99869444,46.39011111,13716,9330,0,4386,
14212,2017,28355303,Barrettebois inc.,Barrettebois inc.,321111 : Scieries sauf usines de bard. & bard. de fente,"110, route de Sainte-Hedwidge Roberval (Québec), G8H 2M9",Saguenay--Lac-Saint-Jean,Roberval,-72.2635,48.5318,9717,8962,0,755,
14216,2017,X0600847,Bitumar inc.,Bitumar inc.,324190 : Fab. d'autres produits du pétrole & du charbon,"3000, rue Broadway Montréal-Est  (Québec), H1B 5B4",Montréal,Montréal-Est,-73.51814722,45.63231944,9921,0,0,9921,
14219,2017,51543981,Canada malting co. Limited,Canada Maltage Cie limitée,311214 : Usinage du riz & malterie,"205, rue Riverside Montréal (Québec), H3C 2H9",Montréal,Montréal,-73.547072,45.490577,16090,0,6153,9937,
14220,2017,54134762,Rio Tinto Fer et Titane inc.,Rio Tinto Fer et Titane - Complexe métallurgique (ancien QIT),331110 : Sidérurgie,"1625, route Marie-Victorin Sorel-Tracy (Québec), J3R 1M6",Montérégie,Sorel-Tracy,-73.13472222,46.04055556,960572,0,0,960572,
14222,2017,90358029,Eacom Timber Corporation,Eacom Timber Corporation (Matagami),321111 : Scieries sauf usines de bard. & bard. de fente,"2000, Parc industriel Matagami (Québec), J0Y 2A0",Nord-du-Québec,Matagami,-77.69952778,49.72808333,58113,55320,0,2793,
14223,2017,16457459,Matériaux spécialisés Louiseville inc.,Matériaux spécialisés Louiseville inc.,321216 : Usines de panneaux de particules & de fibres,"161, rue Saint-Paul Louiseville (Québec), J5V 2G9",Mauricie,Louiseville,-72.95058755,46.25804511,8923,0,0,8923,
14228,2017,52235348,PF Résolu Canada inc.,Produits Forestier Résolu - Amos,322122 : Usines de papier journal,"801, rue des Papetiers Amos (Québec), J9T 3X5",Abitibi-Témiscamingue,Amos,-78.15886667,48.56683056,162972,156205,0,6767,
14234,2017,90301854,Industries Norbord inc.,Industries Norbord inc. - Division La Sarre,321217 : Usines de panneaux de copeaux,"210, 9e avenue Est La Sarre (Québec), J9Z 2X5",Abitibi-Témiscamingue,La Sarre,-79.19112222,48.80003056,177869,172321,0,5548,
14244,2017,90135807,Municipalité régionale de comté de Lac-Saint-Jean-Est,Lieu d'enfouissement sanitaire de L'Ascension-de-Notre-Seigneur,562210 : Traitement & élimination des déchets,"5955, route Uniforêt L'Ascension-de-Notre-Seigneur (Québec), G0W 1Y0",Saguenay--Lac-Saint-Jean,L'Ascension-de-Notre-Seigneur,-71.56565456,48.76620719,13692,2,1097,12593,
14252,2017,52214574,Teledyne Dalsa semiconducteur inc.,Teledyne digital imaging,334410 : Fab. semi-conducteurs & autres comp. électron.,"18, boulevard de l'Aéroport Bromont (Québec), J2L 1S7",Estrie,Bromont,-72.71416667,45.3,23938,0,0,23938,
14254,2017,90271198,La Cie materiaux de construction BP Canada,BP Canada - Usine de LaSalle,324122 : Fab. bardeaux & matériaux de revêt. en asphalte,"9510, rue Saint-Patrick Montréal (Québec), H8R 1R9",Montréal,Montréal,-73.64725161,45.43697971,15589,0,0,15589,
14257,2017,90475187,Olymel S.E.C.,Olymel s.e.c. (Ste-Rosalie),311615 : Transformation de la volaille,"3250, boulevard Laurier Est Saint-Hyacinthe (Québec), J2R 2B6",Montérégie,Saint-Hyacinthe,-72.91366667,45.63771667,10361,0,0,10361,
14262,2017,55523641,Supraliment S.E.C.,Olymel s.e.c. (St-Esprit),311611 : Abattage d'animaux (sauf les volailles),"125, rue Saint-Isidore Saint-Esprit (Québec), J0K 2L0",Lanaudière,Saint-Esprit,-73.661829,45.905744,10466,0,0,10466,
14264,2017,24228629,Unifix inc.,Unifix inc.,327390 : Fab. d'autres produits en béton,"35, rue Unifix Bromont (Québec), J2L 1N5",Estrie,Bromont,-72.72380512,45.30211524,785,0,0,785,
14272,2017,54582671,LVL Global inc.,Usine de fabrique de bois de placage lamellé (LVL de Ville-Marie),321215 : Fab. de produits de charpente en bois,"48, rue Boivin Ville-Marie (Québec), J9V 1B6",Abitibi-Témiscamingue,Ville-Marie,-79.42908056,47.32838333,12817,11789,0,1028,
14275,2017,90383993,Uniboard Canada inc.,Uniboard Canada inc. - Division Val-d'Or,321216 : Usines de panneaux de particules & de fibres,"2700, boulevard Jean-Jacques-Cossette Val-d'Or (Québec), J9P 6Y5",Abitibi-Témiscamingue,Val-d'Or,-77.77976389,48.11555,53932,44152,0,9780,
14278,2017,54661806,Produits pour toitures Fransyl ltée,Produits pour toitures Fransyl Ltée,326140 : Fab. de produits en mousse de polystyrène,"671, rue Léveillé Terrebonne (Québec), J6W 1Z9",Lanaudière,Terrebonne,-73.62574167,45.700575,2966,0,0,2966,
14281,2017,26442293,Lactalis Canada inc.,Lactalis Victoriaville,311511 : Fab. du lait de consommation,"75, boulevard Pierre-Roux Est Victoriaville (Québec), G6T 1S8",Centre-du-Québec,Victoriaville,-71.97148819,46.06666607,21868,0,0,21868,
14282,2017,52133105,Produits Kruger S.E.C.,"Produits Kruger s.e.c., usine de Sherbrooke",322121 : Usines de papier (sauf papier journal),"2888, rue College Sherbrooke (Québec), J1M 1T4",Estrie,Sherbrooke,-71.8545,45.3642,11801,0,0,11801,
14283,2017,90192055,WM Québec inc.,"WM Québec inc., LET de Saint-Nicéphore",562210 : Traitement & élimination des déchets,"25, rue Gagnon Drummondville (Québec), J2A 3H3",Centre-du-Québec,Drummondville,-72.37273398,45.81656649,254229,74569,56048,123612,
14284,2017,54481023,Beaulieu Canada Ltd./Beaulieu Canada ltee,"Beaulieu Canada (445, Roxton)",314110 : Usines de tapis & de carpettes,"445, rue de Roxton Acton Vale (Québec), J0H 1A0",Montérégie,Acton Vale,-72.56964722,45.63870556,5305,0,0,5305,
14289,2017,X2074408,Alexandre Côté ltée,Alexandre Côté ltée,321111 : Scieries sauf usines de bard. & bard. de fente,,Chaudière-Appalaches,Scott,-71.0671871,46.49807956,2876,0,0,2876,
14293,2017,16426611,WM Québec inc.,Lieu d'enfouissement sanitaire (Bestan inc.),562210 : Traitement & élimination des déchets,"1994, chemin d'Ayer's Cliff Magog (Québec), J1X 3W2",Estrie,Magog,-72.148278,45.217652,66556,431,8699,57426,
14295,2017,19032028,WM Québec inc.,Lieu d'enfouissement technique (WM Québec inc.),562210 : Traitement & élimination des déchets,"2535, 1e Rue Sainte-Sophie (Québec), J5J 2R7",Laurentides,Sainte-Sophie,-73.9036891,45.78102757,168597,44230,35011,89356,
14312,2017,54126479,Briques Meridian Canada Ltée,Briques Forterra ltée / Briques Meridian Canada ltée,327990 : Fab. de tous les autres prod. miné. non métall.,"955, chemin Saint-José La Prairie (Québec), J5R 3A9",Montérégie,La Prairie,-73.49273889,45.404975,5643,0,0,5643,
14318,2017,28283505,WM Québec inc.,Régie intermunicipale Argenteuil-Deux-Montagnes (RIADM),562210 : Traitement & élimination des déchets,"6985, chemin des Sources Lachute (Québec), J8H 2C5",Laurentides,Lachute,-74.24284543,45.60974735,259619,0,26889,232730,
14324,2017,X2045951,Kildair Service ULC,Kildair Service ULC (Ind) (Parc à réservoirs C et D),412110 : Grossistes de produits pétroliers,"11905, rue Industrielle Sorel-Tracy (Québec), J3R 0E7",Montérégie,Sorel-Tracy,-73.15992228,45.99752884,11410,0,0,11410,
14334,2017,52011103,Ville de Québec,Incinérateur ville de Québec,562210 : Traitement & élimination des déchets,"1210, boulevard Montmorency Québec (Québec), G1J 3V9",Capitale-Nationale,Québec,-71.22045141,46.82864656,262770,172645,0,90125,
14337,2017,X2017901,Ville de Québec,Lieu d'enfouissement technique de Saint-Joachim,562210 : Traitement & élimination des déchets,"50, route 138 Saint-Tite-des-Caps (Québec), G0A 4J0",Capitale-Nationale,Saint-Joachim,-70.83686944,47.10983333,34956,0,3456,31500,
14339,2017,X2146831,"Terreau Biogaz, société en commandite",Centrale de cogénération de la Haute-Yamaska (Terreau Biogaz),562210 : Traitement & élimination des déchets,,Estrie,Sainte-Cécile-de-Milton,-72.78088889,45.46213889,13806,7494,6305,7,
14342,2017,X1501441,Bombardier inc.,Bombardier Aéronautique Plan 8 Mirabel - Société en commandite Airbus Canada,336410 : Fab. de produits aérospatiaux & de leurs pièces,"13100, boulevard Henri-Fabre Mirabel (Québec), J7N 3C6",Laurentides,Mirabel,-74.0169949,45.68870241,11856,0,0,11856,
14343,2017,53210936,Lafarge Canada inc.,Lafarge Canada inc. - Groupe Ciment,327310 : Fab. de ciment,"1, chemin Lafarge Saint-Constant (Québec), J5A 2E9",Montérégie,Saint-Constant,-73.52415556,45.34014444,718694,21408,0,697286,
14347,2017,17005919,Les chantiers de Chibougamau ltée,Scierie Landrienne inc.,321111 : Scieries sauf usines de bard. & bard. de fente,"389, chemin du Moulin Landrienne (Québec), J0Y 3W0",Abitibi-Témiscamingue,Landrienne,-77.95011,48.5548,23670,21043,0,2627,
14352,2017,90039330,Ville de Chibougamau,Lieu d'enfouissement sanitaire de Chibougamau (Exploitation terminée),562210 : Traitement & élimination des déchets,,Nord-du-Québec,Chibougamau,-74.36773889,49.95856944,11904,0,1376,10528,
14353,2017,X2109574,Services Matrec inc.,Services Matrec inc. (LET),562210 : Traitement & élimination des déchets,"702, route 137 Sud Sainte-Cécile-de-Milton (Québec), J0E 2C0",Estrie,Sainte-Cécile-de-Milton,-72.77472308,45.46128686,78587,4498,11794,62295,
14356,2017,90501727,Centre hospitalier de l'Université de Montréal,Hôtel-Dieu du CHUM,622111 : Hôpitaux généraux (sauf pédiatriques),"3840, rue Saint-Urbain Montréal (Québec), H2W 1T8",Montréal,Montréal,-73.57793329,45.51396904,3406,0,0,3406,
14357,2017,90266321,Centre hospitalier de l'Université de Montréal,Hôpital Notre-Dame,622111 : Hôpitaux généraux (sauf pédiatriques),"1560, rue Sherbrooke Est Montréal (Québec), H2L 4M1",Montréal,Montréal,-73.56326608,45.52581101,5529,0,0,5529,
14358,2017,12729703,Centre hospitalier de l'Université de Montréal,Hôpital Saint-Luc du CHUM,622111 : Hôpitaux généraux (sauf pédiatriques),"1058, rue Saint-Denis Montréal (Québec), H2X 3J4",Montréal,Montréal,-73.55796468,45.51189329,7387,0,0,7387,
14365,2017,90311499,Rayonier A.M. Canada Société en nom collectif,Scierie Béarn,321111 : Scieries sauf usines de bard. & bard. de fente,"67, rue Principale Sud Béarn (Québec), J0Z 1G0",Abitibi-Témiscamingue,Béarn,-79.33566111,47.28483056,15869,13928,0,1941,
14366,2017,X2093322,Municipalité régionale de comté de la Vallée-de-l'Or,Lieu d'enfouissement technique Vallée-de-l'Or,562210 : Traitement & élimination des déchets,,Abitibi-Témiscamingue,Val-d'Or,-77.68315,48.09023056,17435,972,2579,13884,
14367,2017,X0800306,Lithium Amérique du Nord inc.,Lithium Amérique du Nord,"212398 : Extraction de tous les autres minerais, n.c.a.","500, route du Lithium La Corne (Québec), J0Y 1R0",Abitibi-Témiscamingue,La Corne,-77.80762622,48.41506327,20889,0,0,20889,
14368,2017,90319468,"Arbec, bois d'oeuvre inc.",Produits forestiers Arbec inc.  (Scierie de Péribonka),321111 : Scieries sauf usines de bard. & bard. de fente,"5005, route Uniforêt L'Ascension-de-Notre-Seigneur (Québec), G0W 1Y0",Saguenay--Lac-Saint-Jean,L'Ascension-de-Notre-Seigneur,-71.61978668,48.7542639,28934,22127,3929,2878,
14371,2017,90563644,Services Matrec inc.,Services Matrec,562210 : Traitement & élimination des déchets,"16795, rue Oakwood Pierrefonds (Québec), H9H 5C9",Montréal,Montréal,-73.86693374,45.46926821,84888,2784,11452,70652,
14373,2017,X2175543,Air Canada,Montreal Power House,488190 : Autres activités soutien au transport aérien,"700, Côte Vertu Dorval (Québec), H4S 1Y9",Montréal,Dorval,-73.73428313,45.47074753,14981,0,0,14981,
14378,2017,90345794,"Arbec, bois d'oeuvre inc.","Arbec, Usine Dolbeau inc.",113311 : Exploitation forestière (sauf à forfait),"990, rue Félix-Lindsay Dolbeau-Mistassini  (Québec), G8L 2P9",Saguenay--Lac-Saint-Jean,Dolbeau-Mistassini,-72.23204168,48.87377283,9393,7291,0,2102,
14380,2017,53107116,"Arbec, bois d'oeuvre inc.","Arbec, bois d'oeuvre inc.",321111 : Scieries sauf usines de bard. & bard. de fente,"88, route 159 Saint-Roch-de-Mékinac (Québec), G0X 2E0",Mauricie,Saint-Roch-de-Mékinac,-72.76419463,46.79935752,9183,8096,0,1087,
14381,2017,11832862,"Arbec, bois d'oeuvre inc.","Arbec, bois d'oeuvre inc. (usine Saint-Séverin)",321111 : Scieries sauf usines de bard. & bard. de fente,"380, route 159 Saint-Séverin (Québec), G0X 2B0",Mauricie,Saint-Séverin,-72.5144943,46.68079949,17577,16862,0,715,
14382,2017,54668983,"Arbec, bois d'oeuvre inc.","Arbec, bois d'oeuvre inc. (Parent)",321111 : Scieries sauf usines de bard. & bard. de fente,"201, chemin de la Scierie Case postale 100 La Tuque (Québec), G0X 3P3",Mauricie,La Tuque,-74.634519,47.927957,11226,10056,0,1170,
14384,2017,90473620,"Arbec, bois d'oeuvre inc.","Scierie Port-Cartier - Arbec, Usine Port-Cartier inc.",321111 : Scieries sauf usines de bard. & bard. de fente,"175, boulevard Portage-des-Mousses Port-Cartier (Québec), G5B 2V9",Côte-Nord,Port-Cartier,-66.82313236,50.02571339,36488,34063,0,2425,
14385,2017,X2111386,Granulco inc.,Usine de fabrication de granules de bois (Granulco inc.),321999 : Fab. de tous les autres produits divers en bois,"648, chemin du Moulin Sacré-Coeur (Québec), G0T 1Y0",Côte-Nord,Sacré-Coeur,-69.88297125,48.28249576,5103,4917,0,186,
14388,2017,11222528,Université de Montréal,Université de Montréal,611310 : Universités,"2700, boulevard Édouard-Montpetit Montréal (Québec), H3T 1J4",Montréal,Montréal,-73.61288625,45.50317902,16164,0,0,16164,
14406,2017,19356310,La Brasserie Labatt limitée,La Brasserie Labatt limitée (Lasalle),312120 : Brasseries,"50, avenue Labatt Montréal (Québec), H8R 3E7",Montréal,Montréal,-73.642725,45.42553333,15538,0,2036,13502,
14411,2017,X2177085,Centre hospitalier de l'Université de Montréal,Centre hospitalier de l'Université de Montréal,622111 : Hôpitaux généraux (sauf pédiatriques),"1000, rue Saint-Denis Montréal (Québec), H2X 0C1",Montréal,Montréal,-73.55640573,45.51167304,10469,0,0,10469,
14413,2017,54265962,Imerys Graphite & Carbon Canada inc.,Graphite nordique inc.,327990 : Fab. de tous les autres prod. miné. non métall.,"585, chemin du Graphite Saint-Aimé-du-Lac-des-Îles (Québec), J0W 1J0",Laurentides,Saint-Aimé-du-Lac-des-Îles,-75.53346945,46.38007408,5065,0,0,5065,
14416,2017,X2100534,"Biomont Énergie, Société en commandite",Biomont Énergie inc.,221119 : Autres activités de production d'électricité,"2275, rue des Regrattiers Montréal  (Québec), H1Z 4P2",Montréal,Montréal,-73.61784408,45.55903568,9846,5808,3867,171,
14422,2018,X2072330,Les Mines Opinaca ltée,Propriété Éléonore,212220 : Extraction de minerais d'or & d'argent,,Nord-du-Québec,Eeyou Istchee Baie-James,-76.07089603,52.70500014,28906,0,0,28906,
14428,2018,29520772,"Graphic Packaging International Canada, ULC","Graphic Packaging International Canada, ULC",322130 : Usines de carton,"2, rue Angus Nord East Angus (Québec), J0B 1R0",Estrie,East Angus,-71.66094783,45.48130673,30234,0,0,30234,
14430,2018,55206361,Les produits laminés Sural Canada inc.,"Alubar Métaux inc., Bécancour","331317 : Laminage, étirage, extrusion & alliage de l'Al","6900, boulevard Raoul-Duchesne Bécancour (Québec), G9H 2V2",Centre-du-Québec,Bécancour,-72.398832,46.372565,8653,0,0,8653,
14432,2018,X2147480,Sural Québec inc.,"9455-1280 Québec inc., Victoriaville","331317 : Laminage, étirage, extrusion & alliage de l'Al","1500, boulevard Pierre-Roux Est Victoriaville (Québec), G6T 2T6",Centre-du-Québec,Victoriaville,-71.92533333,46.087,9712,0,0,9712,
14436,2018,54202395,Ville de Montréal,Complexe environnemental Saint-Michel (CESM),562210 : Traitement & élimination des déchets,"2235, rue Michel-Jurdant Montréal (Québec), H1Z 4N1",Montréal,Montréal,-73.62888889,45.56333333,22617,4427,4645,13545,
14438,2018,53995098,Glencore Canada Corporation,Glencore Canada Corporation - Affinerie CCR,331410 : Fonte & affinage métaux non ferreux (sauf Al),"220, avenue Durocher Montréal-Est (Québec), H1B 5H6",Montréal,Montréal-Est,-73.50762783,45.62733523,53339,0,0,53339,
14439,2018,54907720,Les forges de Sorel cie,Les Forges de Sorel cie,332113 : Forgeage,"100, rue McCarthy Saint-Joseph-de-Sorel (Québec), J3R 3M8",Montérégie,Saint-Joseph-de-Sorel,-73.12650174,46.04566926,47086,0,0,47086,
14440,2018,16358459,Sanimax Lom inc.,Sanimax lom inc. (Usine d'équarissage),311614 : Fonte graisse animale & transf. de viande carc.,"9900, 6e Rue (R.-d.-P.) Montréal (Québec), H1C 1G2",Montréal,Montréal,-73.55685175,45.65186726,31641,0,0,31641,
14441,2018,90222761,Domtar inc.,Domtar inc. Usine de Windsor,322112 : Usines de pâte chimique,"609, rang 12 Windsor  (Québec), J1S 2L9",Estrie,Windsor,-71.978826,45.56441,1163189,1063752,0,99437,
14442,2018,90096116,Glencore Canada Corporation,Mine Raglan,212232 : Extraction de minerais de nickel-cuivre,"Plateau Katiniq Nunavik (Québec), J0Y 1M0",Nord-du-Québec,Rivière-Koksoak                                           ,-73.67936111,61.68716667,142416,93,0,142323,
14443,2018,90404385,Alcoa Canada Cie,Alcoa Canada Cie - Aluminerie de Baie-Comeau,331313 : Production primaire d'alumine & d'aluminium,"100, route Maritime Baie-Comeau (Québec), G4Z 2L6",Côte-Nord,Baie-Comeau,-68.14733428,49.25562657,525733,0,0,525733,
14444,2018,54690359,Agropur coopérative,Agropur Coopérative - Usine de Beauceville,"311515 : Fab. beurre, fromage, prod. laitier sec & conc.","75, avenue Lambert Beauceville (Québec), G5X 3N5",Chaudière-Appalaches,Beauceville,-70.81658333,46.24172222,9924,0,0,9924,
14448,2018,X1300282,Uniboard Canada inc.,Uniboard Canada inc.,321999 : Fab. de tous les autres produits divers en bois,"5555, rue Ernest-Cormier Laval (Québec), H7C 2S9",Laval,Laval,-73.65388889,45.63083333,6195,4209,0,1986,
14450,2018,52294329,Agropur coopérative,Agropur Coopérative - Usine de Plessisville,"311515 : Fab. beurre, fromage, prod. laitier sec & conc.","2400, rue de la Coopérative Plessisville (Québec), G6L 3G8",Centre-du-Québec,Plessisville,-71.75918372,46.22420044,13202,0,0,13202,
14451,2018,52294303,Agropur coopérative,Agropur Coopérative - Usine de Notre-Dame-du-Bon-Conseil,"311515 : Fab. beurre, fromage, prod. laitier sec & conc.","81, rue Saint-Félix Notre-Dame-du-Bon-Conseil (Québec), J0C 1A0",Centre-du-Québec,Notre-Dame-du-Bon-Conseil,-72.33798611,46.00135833,17069,792,0,16277,
14452,2018,52485471,Agropur coopérative,Agropur Coopérative - Usine de Granby,"311515 : Fab. beurre, fromage, prod. laitier sec & conc.","1100, rue Omer-Deslauriers Granby (Québec), J2J 0S7",Estrie,Granby,-72.77986111,45.3855,22562,0,0,22562,
14453,2018,55261028,La Cie materiaux de construction BP Canada,La Cie de matériaux de construction BP Canada,321216 : Usines de panneaux de particules & de fibres,"420, rue Dupont Pont-Rouge (Québec), G3H 1S2",Capitale-Nationale,Pont-Rouge,-71.71260278,46.74849444,20202,0,0,20202,
14454,2018,X2085416,Canadian Royalties inc.,Nunavik Nickel,212232 : Extraction de minerais de nickel-cuivre,,Nord-du-Québec,Rivière-Koksoak                                           ,-73.42954464,61.56159075,105232,0,0,105232,
14456,2018,11560620,Sanimax aci inc.,Sanimax aci inc.,311614 : Fonte graisse animale & transf. de viande carc.,"2001, avenue de la Rotonde Lévis (Québec), G6X 2L9",Chaudière-Appalaches,Lévis,-71.27384678,46.70407609,28089,11130,0,16959,
14458,2018,X2097474,Viterra Canada inc.,"Viterra Canada inc., Bécancour",311224 : Transformation des graines oléagineuses,"555, boulevard Alphonse-Deshaies Bécancour (Québec), G9H 2Y8",Centre-du-Québec,Bécancour,-72.37727,46.38672,57207,0,0,57207,
14460,2018,55076236,Graymont (Qc) inc.,Graymont (Qc) inc. (usine de Joliette),327410 : Fab. de chaux,"1300, rue Notre-Dame Joliette  (Québec), J6E 3Z9",Lanaudière,Saint-Pierre,-73.45728333,46.01153333,183,0,0,183,
14461,2018,53539565,Fortress Specialty Cellulose inc.,Fortress Cellulose Spécialisée inc. (anc.: FPS Canada inc.),322112 : Usines de pâte chimique,"451, rue Victoria Thurso (Québec), J0X 3B0",Outaouais,Thurso,-75.25627778,45.59722222,984592,912008,0,72584,
14462,2018,90368630,Ciment McInnis inc.,Cimenterie de Port-Daniel,327310 : Fab. de ciment,"50, Route 132 Port-Daniel-Gascons (Québec), G0C 2N0",Gaspésie--Îles-de-la-Madeleine,Port-Daniel--Gascons,-64.91376429,48.18888582,884430,0,0,884430,
